tutanak_id,donem,yasama_yili,butce_yili,tarih,tarih_raw,baslik,kaynak_url
1070,24,2,2012,2011-11-16,16/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1071,24,2,2012,2011-11-17,17/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1072,24,2,2012,2011-11-21,21/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1073,24,2,2012,2011-11-22,22/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1074,24,2,2012,2011-11-23,23/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1075,24,2,2012,2011-11-24,24/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1076,24,2,2012,2011-11-25,25/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1078,24,2,2012,2011-11-26,26/11/2011,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=2
1096,24,3,2013,2012-10-30,30/10/2012,MALİYE BAKANININ BÜTÇE VE KESİNHESAP KANUNU TASARILARINI KOMİSYONA SUNUŞU,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1097,24,3,2013,2012-10-31,31/10/2012,BÜTÇE VE KESİNHESAP KANUNU TASARILARININ GENELİ ÜZERİNDE GÖRÜŞMELER,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1081,24,3,2013,2012-11-01,01/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1082,24,3,2013,2012-11-02,02/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1083,24,3,2013,2012-11-05,05/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
1084,24,3,2013,2012-11-06,06/11/2012,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),https://www.tbmm.gov.tr/Tutanaklar/KomisyonTutanaklariDonemTutanaklari?Kodu=17&DonemKodu=24&YasamaYili=3
