tutanak_id,kaynak,donem,yasama_yili,butce_yili,tarih,baslik,tip,yerel_pdf_yol,yerel_txt_yol,indir_durum,parse_durum,sayfa_sayisi,kelime_sayisi,kalite_skoru,sure_sn,hata_mesaji
1069,owa,24,2,2012,2011-11-15,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111115_1069_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111115_1069_owa.txt,ok,ok,58,45195,9.3,2.0800000000000125,NA
1070,owa,24,2,2012,2011-11-16,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111116_1070_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111116_1070_owa.txt,ok,ok,111,82950,9.2,2.1299999999999955,NA
1071,owa,24,2,2012,2011-11-17,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111117_1071_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111117_1071_owa.txt,ok,ok,128,94353,9.2,2.4099999999999966,NA
1072,owa,24,2,2012,2011-11-21,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111121_1072_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111121_1072_owa.txt,ok,ok,97,77047,9.2,2.25,NA
1073,owa,24,2,2012,2011-11-22,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111122_1073_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111122_1073_owa.txt,ok,ok,114,87052,9.3,2.180000000000007,NA
1074,owa,24,2,2012,2011-11-23,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111123_1074_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111123_1074_owa.txt,ok,ok,99,73903,9.3,2.1599999999999966,NA
1075,owa,24,2,2012,2011-11-24,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111124_1075_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111124_1075_owa.txt,ok,ok,79,62272,9.3,2.1100000000000136,NA
1076,owa,24,2,2012,2011-11-25,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111125_1076_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111125_1076_owa.txt,ok,ok,98,82979,9.2,2.25,NA
1078,owa,24,2,2012,2011-11-26,2012 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2010 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20111126_1078_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20111126_1078_owa.txt,ok,ok,79,62560,9.1,2.180000000000007,NA
1096,owa,24,3,2013,2012-10-30,MALİYE BAKANININ BÜTÇE VE KESİNHESAP KANUNU TASARILARINI KOMİSYONA SUNUŞU,sunum,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121030_1096_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121030_1096_owa.txt,atla,atla,NA,13427,9.2,NA,NA
1097,owa,24,3,2013,2012-10-31,BÜTÇE VE KESİNHESAP KANUNU TASARILARININ GENELİ ÜZERİNDE GÖRÜŞMELER,genel,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121031_1097_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121031_1097_owa.txt,ok,ok,83,68152,9.3,2.0100000000000193,NA
1081,owa,24,3,2013,2012-11-01,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121101_1081_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121101_1081_owa.txt,ok,ok,86,58866,9.3,2.140000000000015,NA
1082,owa,24,3,2013,2012-11-02,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121102_1082_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121102_1082_owa.txt,ok,ok,102,71270,9.3,2.049999999999983,NA
1083,owa,24,3,2013,2012-11-05,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121105_1083_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121105_1083_owa.txt,ok,ok,105,71565,9.3,2.1100000000000136,NA
1084,owa,24,3,2013,2012-11-06,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121106_1084_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121106_1084_owa.txt,ok,ok,86,58348,9.2,2.0900000000000034,NA
1085,owa,24,3,2013,2012-11-07,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121107_1085_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121107_1085_owa.txt,ok,ok,87,60469,9.2,1.9799999999999898,NA
1086,owa,24,3,2013,2012-11-08,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121108_1086_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121108_1086_owa.txt,ok,ok,76,57654,9.3,2.1299999999999955,NA
1087,owa,24,3,2013,2012-11-12,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121112_1087_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121112_1087_owa.txt,ok,ok,114,77854,9.2,2.2900000000000205,NA
1088,owa,24,3,2013,2012-11-13,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121113_1088_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121113_1088_owa.txt,ok,ok,109,73357,9.3,2.0500000000000114,NA
1089,owa,24,3,2013,2012-11-14,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121114_1089_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121114_1089_owa.txt,ok,ok,115,80348,9.2,2.319999999999993,NA
1090,owa,24,3,2013,2012-11-15,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121115_1090_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121115_1090_owa.txt,ok,ok,118,79144,9.3,2.1999999999999886,NA
1091,owa,24,3,2013,2012-11-19,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121119_1091_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121119_1091_owa.txt,ok,ok,108,74499,9.2,2.0500000000000114,NA
1092,owa,24,3,2013,2012-11-20,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121120_1092_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121120_1092_owa.txt,ok,ok,114,79571,9.3,2.4399999999999977,NA
1093,owa,24,3,2013,2012-11-21,2013 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2011 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20121121_1093_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20121121_1093_owa.txt,ok,ok,103,70239,9.2,2.009999999999991,NA
