link_metni,pdf_url_ham,pdf_url,gorusme_tarihi,tip,butce_yili,dosya_adi,yerel_pdf_yol,yerel_txt_yol,kaynak
21 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/21-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/21-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-21,gorusme,2020,20191121_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191121_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191121_gorusme_sbb_001.txt,sbb
22 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/22-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/22-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-22,gorusme,2020,20191122_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191122_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191122_gorusme_sbb_001.txt,sbb
25 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/25-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/25-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-25,gorusme,2020,20191125_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191125_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191125_gorusme_sbb_001.txt,sbb
26 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/26-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/26-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-26,gorusme,2020,20191126_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191126_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191126_gorusme_sbb_001.txt,sbb
27 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/27-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/27-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-27,gorusme,2020,20191127_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191127_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191127_gorusme_sbb_001.txt,sbb
28 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/28-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/28-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-28,gorusme,2020,20191128_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191128_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191128_gorusme_sbb_001.txt,sbb
29 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/29-Kasim-2019_PBK_GenelGorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/29-Kasim-2019_PBK_GenelGorusmeler.pdf,2019-11-29,gorusme,2020,20191129_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191129_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191129_gorusme_sbb_001.txt,sbb
23 Ekim 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/23-Ekim-2018_ButceAcilisSunum.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/23-Ekim-2018_ButceAcilisSunum.pdf,2018-10-23,gorusme,2019,20181023_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181023_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181023_gorusme_sbb_001.txt,sbb
30 Ekim 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/30-Ekim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/30-Ekim-2018_PBK_Gorusmeler.pdf,2018-10-30,gorusme,2019,20181030_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181030_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181030_gorusme_sbb_001.txt,sbb
31 Ekim 2018 Tarihli Görüşme,/wp-content/uploads/2020/02/31-Ekim-2018_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/31-Ekim-2018_PBK_Gorusmeler.pdf,2018-10-31,gorusme,2019,20181031_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20181031_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20181031_gorusme_sbb_001.txt,sbb
